C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
150013,Customer#000150013,"VYLSiMIfsNL,TynY,EAbF0oTduGgEf5L5rs4Dj",13,23-729-225-4767,3652.56,FURNITURE, even accounts. special tithes across the furiously specia
150014,Customer#000150014,"ygEnNtMMjvCOLO2f9,lCgcf",10,20-464-421-5239,6552.73,AUTOMOBILE,"l asymptotes boost quickly slyly ironic packages. express, even accounts wake blithely. closely pendin"
150015,Customer#000150015,g5hvv4FTZbriFgKPa9h0XqPZlnHcTzlikdWGWma,19,29-294-669-2474,8782.23,HOUSEHOLD,iously pending packages sleep about the fluffily regular packages. final asymptotes according to the bl
150016,Customer#000150016,0HSLHf91LluGuXP,16,26-737-514-3145,3015.33,BUILDING,"y regular dependencies wake carefully even foxes. blithely special instructions wake. thin, ironic dependencies woul"
150017,Customer#000150017,"4gRcz4cMV2QIibngyYvmk,EozcvJVvc3Y5S",11,21-562-660-4682,-371.99,AUTOMOBILE,ic sentiments. blithely ironic instr
150018,Customer#000150018,b6y JEb0RWuOLEyNbpf5DW,16,26-168-685-3706,4938.59,HOUSEHOLD,blithely express requests dazzle behind the busily even courts. final dinos are about the
150019,Customer#000150019,5pX1mYpsqoFdwp8yuwqx,8,18-216-674-2289,5948.93,FURNITURE,"nding, pending deposits. express dinos sleep blithely. thin pinto beans boost p"
150020,Customer#000150020,"9J0rRyBiqKH84bxAr4Gw,dzoejNE8hsWllS,w",19,29-563-372-9072,2734.20,AUTOMOBILE,"nal, regular accounts. furiously ironic dinos run furiously. regular deposits wake "
150021,Customer#000150021,eBftr rXFsu2E,3,13-757-835-9987,4684.47,BUILDING," x-ray quickly around the regular, final deposits; carefully pending"
150022,Customer#000150022,EMopBuhjUkz1dPjHOf8N48cKjlPl,7,17-482-630-1864,2890.71,MACHINERY, above the accounts wake carefully unusual requests. e
150023,Customer#000150023,BLpDIvAC4d7,0,10-332-757-7958,6183.18,HOUSEHOLD,elets. even orbits about the final foxes x-ray furiously regular theodolites. regular pinto beans w
150024,Customer#000150024,yrDzcckkexToZTR94P7,4,14-230-931-7726,1770.04,MACHINERY,ly special deposits. blithely special accounts sleep furious
150025,Customer#000150025,s5dE531bG7Z3Xpq,15,25-734-537-4179,3084.62,HOUSEHOLD,its. unusual deposits under the blithely pending frets cajole slyly requests: blithely unusual packages h
150026,Customer#000150026,RlfNbvEIqRXPB9xZQkOxQJCBI,23,33-511-281-7385,9209.85,HOUSEHOLD,ing requests about the furiously final deposits haggle blithely accounts. grouches grow bl
150027,Customer#000150027,"B5iJe4pUfs6wzDiBF,2oUb7tV4n1aO",24,34-460-327-2156,7061.20,MACHINERY,ke blithely sly requests. expr
150028,Customer#000150028,BIzWI6MpvOH1ECWQ0V6CfGJH6BVplcSzB,10,20-800-380-4133,7606.66,FURNITURE,"carefully quickly regular packages? final, even d"
150029,Customer#000150029,P4gOr8Bs2LQqtzi4SJ2uNQ,18,28-884-721-9927,1222.17,BUILDING,l accounts? carefully even packages sleep over the blithely ironic ideas. carefully silen
150030,Customer#000150030,sJOa2eXAl v4Buy2EwvgtCOP2bOWuU2YTEFs,9,19-713-417-8219,1902.02,BUILDING,ully sly pinto beans. final platelets wake. unusual instructions are blithely alongsi
150031,Customer#000150031,w4tlkDi55eFsqLo69qMhx 686o,15,25-263-452-5633,-731.07,HOUSEHOLD,er the furiously even requests. slyly silent requests use against the final e
150032,Customer#000150032,"csW5cxAzXDPdgARo,q5MKlRN6,",6,16-277-883-9765,8890.09,HOUSEHOLD,ular packages. unusual pinto bean
150033,Customer#000150033,plYtZ6lXlIpP6mtR6AoolV,19,29-982-159-7114,854.14,HOUSEHOLD,uickly ironic accounts against the slyly regul
150034,Customer#000150034,iucZ1q6wYOaYMT,0,10-971-692-1225,9485.69,HOUSEHOLD,", regular sauternes. evenly regular asymptotes are blithely."
150035,Customer#000150035,eXrJmSGxGXqJ2,2,12-589-886-5144,1070.52,HOUSEHOLD,s haggle carefully fluffily ironic dependencies. carefully even dependencies sl
150036,Customer#000150036,GhfXZKICfYH8p6hBVRNAqrkOeCwAU6DHkEXd,1,11-444-624-9360,5232.00,BUILDING,nag blithely after the blithely silent ac
150037,Customer#000150037,zqJjYPnY17PzRrjhhQkS,24,34-758-551-1916,9180.44,FURNITURE,en asymptotes across the fluffily unusual ideas was quickly quiet requests. furiously even accounts above the f
150038,Customer#000150038,"FYNTPO9tfKIdSL3RDIOkj ,loeDjDS",5,15-516-357-3109,7746.53,FURNITURE,grouches are slowly. furiously regular deposits boost blithely special requests. quickly regu
150039,Customer#000150039,bnRezHeZAg z,21,31-678-575-7637,8913.80,MACHINERY,arefully even excuses. courts across the pending packages are 
150040,Customer#000150040,"FByoulniCZF5F7,vjMYOdpOuyoD",23,33-707-822-2362,3220.32,AUTOMOBILE,al ideas haggle furiously final packages. furiously even instructions use fluffily even theodolites. accounts use en
150041,Customer#000150041,"cKppvsQQQ7zlwcc3LT,CBNggV5a",7,17-257-806-5475,1854.92,HOUSEHOLD,symptotes wake regular epitaphs. regular deposits use requests. furious
150042,Customer#000150042,IS8HObMrdctlcSryDk8WKJvy6M2DVcLAFES8fv,7,17-446-578-5388,-426.64,FURNITURE,"ular excuses nag fluffily regular packages. slyly final pains are fluffily even, special deposits-- b"
150043,Customer#000150043,4guSZ88cEpUqBKfs8sitzBDplXpxQZTlwnpTlf,9,19-219-891-3920,-600.18,BUILDING,ctions. even instructions among the furiously bold packages haggle fluffily even theodol
150044,Customer#000150044,jsAYSOICOd,23,33-158-466-3810,8743.24,FURNITURE,ons. fluffily ironic instructions sleep bravely special escapades. carefully unusual deposits boost blithely fu
150045,Customer#000150045,"aNJzSvbOi8k49Z0Ar7,ZbcpT",12,22-125-941-3233,7780.85,FURNITURE,bove the sometimes regular requests. furiously express packages ha
150046,Customer#000150046,weqCUqDlosMV oW,10,20-297-522-3294,2824.83,FURNITURE,tes affix at the evenly regular courts. furiously quiet packages cajole
150047,Customer#000150047,UJvQh2shwSvXl3XODZSht,19,29-994-219-3744,9851.05,HOUSEHOLD,ccording to the carefully even multipliers; slyly express requests
150048,Customer#000150048,XyJtG9dmFbP7hIt,21,31-260-702-7952,3673.87,HOUSEHOLD,o sleep after the carefully regular pinto beans. carefully express deposits sleep after the iron
150049,Customer#000150049,qobTdJENPrxxBx,15,25-527-768-6076,1735.43,BUILDING,s sleep. regular deposits boost blithely unusual waters. deposits haggle furiously among the slyly special
150050,Customer#000150050,uuEpHNHYq3,5,15-814-737-6943,4346.61,MACHINERY, bold accounts. furiously ironic requests detect quietly after the car
150051,Customer#000150051,uDXSVugAjVjC5tHv6iIa 9zHUIXx2yZf,8,18-635-738-5845,464.44,AUTOMOBILE,riously pending accounts? ironic accounts 
150052,Customer#000150052,VWBcZmQW4xZ,14,24-936-484-4952,4859.33,FURNITURE,"y, final deposits nag. quickly regular instructions lose. blithely final requests wake blithely "
150053,Customer#000150053,MYsbL7GtzfAkw5FjgUFbWZyxILeSE4wA0Cd8,7,17-503-856-3290,4847.88,FURNITURE,y fluffily bold packages. blithely regular as
150054,Customer#000150054,NEi7IrvnOlUkWt Y8D6KdA4nQ6z,1,11-347-376-5047,-713.20,HOUSEHOLD,ironic asymptotes. carefully regular pinto beans will h
150055,Customer#000150055,"v il7lhC,CzLRxNIr6Oo",16,26-751-847-6154,1132.03,BUILDING,"counts. final, ironic ideas nag f"
150056,Customer#000150056,sGRiJsu6lpKWxnPvobgfAd7txULYg y,14,24-375-459-6762,5000.00,MACHINERY, final foxes cajole. furiously regular accounts boost.
150057,Customer#000150057,"yMHGlCY,V6nk8OKN2q",15,25-357-686-8130,3943.13,AUTOMOBILE,ter the quickly unusual requests wake blithely slyly express frays. regular accoun
150058,Customer#000150058,"eZJ4EwvkbqVZqNiBkXbSNM1ex1,PPFbPf",24,34-441-539-7466,6246.43,FURNITURE,instructions eat quickly according to the furiously regular packages. fluffily unusual packages boost.
150059,Customer#000150059,"qVJ92F,CZ9M,WTsQkAj",24,34-979-338-9796,8771.73,MACHINERY,onic requests. blithely ironic requests a
150060,Customer#000150060,fwXGocKMtXMIsLKfVO4,19,29-625-570-9322,2448.14,FURNITURE,ly. blithely regular platelets solve furiously alongside of the carefully slow accounts
150061,Customer#000150061,CWJNA09C2JaVGPKV,22,32-424-858-8411,3913.25,FURNITURE,regular asymptotes sleep carefully. requests after the ironic 
150062,Customer#000150062,dR7sOSNDgu0119zwDF,23,33-850-985-8776,-957.44,HOUSEHOLD,"ic packages. pending, final theodolites sleep slyly! regular deposits hang carefully sl"
150063,Customer#000150063,"bVIkPL67 Ho,",2,12-547-322-8034,-826.18,MACHINERY,"es. final, sly packages solve during the blithely final excuses. express excuses"
150064,Customer#000150064,F7 zgY1jyGcgAOWJRYWBkOELd8ywMzGAumuTR,21,31-847-385-6351,5368.97,BUILDING,rate slyly across the Tiresias. regular deposits nag after the idly stealt
150065,Customer#000150065,NYLKkKXJzb4KdZkSCZ8u4nkQ7V L,20,30-776-470-1148,1232.32,BUILDING,le since the final asymptotes. furiously ironic pearls sublate carefully slyly regular p
150066,Customer#000150066,RCNFpZ3VjPwOAPn56ROOKJ,0,10-275-299-8919,7521.42,AUTOMOBILE,quests affix. slyly regular foxes haggle furiously furiously bold accounts
150067,Customer#000150067,XFGvnuvn51dZ6sDB,13,23-814-526-5741,9473.90,MACHINERY,"gular, regular accounts are blithely blithely special deposits. quickly regular a"
150068,Customer#000150068,chUoSFkgCFrNtKFzxx,14,24-888-141-6508,920.64,FURNITURE,hely special dependencies. enticingly express excuses sleep bold dolphins. ironic attainment
150069,Customer#000150069,"AY4Ad7o5V3,qXpasDgazVlFlrQzrylcss",6,16-166-954-4039,5205.79,AUTOMOBILE,"eep carefully final, bold accounts. even requests "
150070,Customer#000150070,"TNN0M5Jbr7,JKyOy5pAEKQVuqGXOIIIq1Apjd8n9",0,10-335-545-9446,8799.04,HOUSEHOLD,gular foxes use blithely pinto beans. ironic foxes sl
150071,Customer#000150071,"gPD2Rl1MHJ0bhYI,7vD",6,16-877-353-5203,-452.24,AUTOMOBILE,"t deposits. silent, unusual packages solve quickly quickly even sheaves. blithely special"
150072,Customer#000150072,ipg5k DrkLNAT 5kN59pbfseykhhpZVnp6uwShM,11,21-897-373-1793,9198.39,FURNITURE,ests. carefully silent foxes alongside of the even requests boost furiously careful packages. attainments above 
150073,Customer#000150073,6Sccwq7n5 h0nUWYC68kSBy3sNG9QAvu52Eu,7,17-587-984-8167,1428.58,BUILDING,ndencies. unusual packages across the idle requests boost furiously fluffi
150074,Customer#000150074,"W,TTziAp0MeWcZvykgP7aRWEG4f8zhR",6,16-796-839-8095,6064.98,BUILDING,inal foxes wake thinly blithely ironic accounts. special sentiments haggle
150075,Customer#000150075,"g0 9mUjXdE0Kapc8,VhA4nmp5ez0,37",2,12-965-140-3616,6101.88,HOUSEHOLD,en excuses are carefully. carefully bold asymptotes use fluffily unusual forges. slyly pend
150076,Customer#000150076,AhZx UfSDlQFH4uI,17,27-926-856-8235,-675.69,MACHINERY,against the blithely unusual sheaves. ironic packages sleep pending dep
150077,Customer#000150077,osYeZ1vBEaSenUNlKX3RrvL37lO7OGnBS5ZOqTbS,9,19-829-544-4747,4546.91,AUTOMOBILE,ng the blithely final deposits: carefully ironic foxes wake quickly along the final packages. slyly regular epitap
150078,Customer#000150078,"0OTJ0d3n5p6W8De4Xi,eU",2,12-688-263-9958,909.48,AUTOMOBILE,es detect stealthily furiously regular excuses? quickly pending i
150079,Customer#000150079,"2mJcf73qumNazabMwwp,EyXD3RYDNQZq8 5Vn",9,19-239-737-8135,4495.71,FURNITURE, haggle quickly. slyly pendin
150080,Customer#000150080,kC6ISb YzAueAX6fOTjfg4lEKd ,12,22-272-559-1016,9448.42,AUTOMOBILE,ular somas sleep fluffily around the blithely final packages: doggedly special foxes across the always final asym
150081,Customer#000150081,8cMfq8TzZy2,14,24-657-359-5192,1751.38,BUILDING,"heodolites according to the final, unusual accounts affix special packages. blithely spec"
150082,Customer#000150082,d8ouJZEhiGjJzqctifriTsObKlgx,18,28-478-347-7963,8335.50,MACHINERY,"ly regular foxes against the express, even accounts doubt fluffily upon the blithely ironic accounts. carefu"
150083,Customer#000150083,"Xfc7YEfIxG,IALwjWd1TeFeL7RbIpaEwYD SR5",13,23-407-298-3867,7783.10,HOUSEHOLD,ng instructions. quickly final ideas mold about the furiously reg
150084,Customer#000150084,"Io6LP3SZs3CTC,KXD23IoV9FUDC0hIEfzU",11,21-160-419-5344,7624.82,MACHINERY,"g the pending, even deposits. silent dependencies integrate slyly furiou"
150085,Customer#000150085,CW I82auYTN4sV,9,19-931-345-2808,9348.67,FURNITURE,al requests. boldly silent packages are blithely. quietly final theod
150086,Customer#000150086,6FZrJDEvzQYMGcX,22,32-900-954-9967,8149.14,FURNITURE,"cial, special requests. blithely ironic foxes haggle ironic, pending multipliers. f"
150087,Customer#000150087,wVcC8 PiLJ RDucgZeV14pUM,12,22-258-222-2299,-391.15,HOUSEHOLD,"ly bold, final accounts. carefully ironic requests sleep fluffily silent "
150088,Customer#000150088,"fM,KrucnjpUaaLGdlMZO",16,26-894-947-5263,1869.05,AUTOMOBILE,beans. slyly unusual theodolites against the quickly expr
150089,Customer#000150089,C2ht7Mr2BmWb89vgHK4ms4a8T,24,34-800-903-9789,6016.55,AUTOMOBILE,. carefully regular accounts wake slyly furiously final packages. blithel
150090,Customer#000150090,"2YzOOd,KBE,0Z3,brN",7,17-173-958-6457,6122.84,MACHINERY,jole quickly beside the silently regular pl
150091,Customer#000150091,ifhYr2R2VRhMT05mJ,24,34-757-260-3126,-370.97,HOUSEHOLD,lly final instructions affix furiously furiously bold accounts. fur
150092,Customer#000150092,XPuDjztuSGJAuwQxY21 qDALexriFU7FSdgfNh,10,20-819-477-7568,50.12,MACHINERY,nic pinto beans haggle slyly along the carefully ironic requests-- regularly s
150093,Customer#000150093,vHUKnkJfo yda9,3,13-665-519-5463,4248.17,AUTOMOBILE,g packages after the quickly close requests
150094,Customer#000150094,"VPoIMKaGi6Y2c6iI,n",14,24-161-629-2394,6921.41,HOUSEHOLD,ackages. quickly even requests cajole. even requests use b
150095,Customer#000150095,"jzdkHUBINKvx,BJeLMO1Y",22,32-385-235-1928,1122.36,AUTOMOBILE,gular deposits use slyly furiously express the
150096,Customer#000150096,X1YpFh77F5G93N,16,26-522-912-9721,7449.22,HOUSEHOLD," fluffily blithe packages. fluffily final ideas are slyly along the slow, regular reque"
150097,Customer#000150097," RLuCEQ7K,9ulOKhHtbi4",1,11-254-227-7657,6015.46,AUTOMOBILE,usly among the pinto beans. furiously ironic accounts breach against the regular excuses. requests a
150098,Customer#000150098,AmsJBpnFnJ52 R7 TpL9n3ht6F,16,26-550-648-9269,9789.62,AUTOMOBILE,lar accounts nag slyly slyly ironic deposits. bl
150099,Customer#000150099,MBzTaBtleayPa,12,22-378-756-9175,5149.53,HOUSEHOLD,"ly final deposits. stealthy, unusual epitaphs use blithely unusual excuses. packages nag slyly about the platele"
150100,Customer#000150100,hlhgbaSAStMpPSMTQpyUTSiLU13dHUoGgm76PFQB,21,31-815-202-3703,9116.50,BUILDING,es affix at the furiously final dependencies. slyly regular deposits na
150101,Customer#000150101,quf0OczUv4gF52ljPmsnomZGnWA 2tfxxne,15,25-184-345-4018,66.04,FURNITURE,osits. blithely ironic ideas across the quick
150102,Customer#000150102,Py041h1NF3BrDQnu2zc5,19,29-960-851-7941,7864.37,MACHINERY,the blithely even accounts. ruthlessly unusual accounts boost
150103,Customer#000150103,"7Vert2VVCqzmsuEPfyCUBjBiYCqz9v5MtO5nt,",24,34-627-551-6267,9542.13,BUILDING,! theodolites along the carefully unusual theodolites wake blithely evenly regular instr
150104,Customer#000150104,",W1vPu2IQ0",14,24-953-806-4154,3718.00,BUILDING, quickly regular packages against the finally ironic instructions sleep blithely about the slowly r
150105,Customer#000150105,"hEtWD20,AnlVv3TddcMut9sX7oDN3h1j",20,30-218-677-6283,6489.38,MACHINERY,gular requests cajole ironic i
150106,Customer#000150106,"FK,y2eYShPccGY1",22,32-115-875-9177,34.73,FURNITURE,"ages. carefully brave packages boost furiously regular, regular pinto beans. carefully express requests detec"
150107,Customer#000150107,"Iz9N3U2YGBwf,GwhsZH,tLJ1Xe4PtFnc,jW6",18,28-639-859-3498,9648.94,FURNITURE,n courts. even foxes cajole ca
150108,Customer#000150108,"txJDKOxghLPSqb4ZYPYi65VwFiWcPC3,wJYbD",19,29-712-318-8480,5800.99,MACHINERY,ometimes pending foxes. blithely special accounts are carefully ironic foxes. regula
150109,Customer#000150109,e VZS68Y5GuMlSDxa,24,34-775-720-7015,2330.97,MACHINERY,"arefully bold platelets cajole. regular, express "
150110,Customer#000150110,dHFK1daXOcVNpWrmj6Ocnd,1,11-320-764-6198,3526.90,AUTOMOBILE,pinto beans doubt against the furio
150111,Customer#000150111,"gIKm7zgiaB1vP0nyGWmo6pxiJ2f2,1H",10,20-476-896-9790,6580.66,AUTOMOBILE,bout the furiously final ideas: fu
150112,Customer#000150112,pyfqCvtdBshKToRm22s14vOqDMvv6nFAbUEX7bi,3,13-136-590-1105,5158.68,FURNITURE," ironic, special instructions. furiously ironic accounts affix carefully along the foxes"
150113,Customer#000150113, VAaUDNOFcMUK6ZGGDdu,15,25-271-750-1921,8964.69,MACHINERY,he slyly special packages boost furiously
150114,Customer#000150114,ajc1WTsV4RNxPh4EjfUzlVIy,18,28-725-529-6854,629.43,BUILDING,"odolites. regular accounts boost carefully regular sauternes. pending, express accounts haggle "
150115,Customer#000150115,dh5KRDmBg6CDW7MgW YpJo2HUN7CBrOgGG,11,21-443-636-2325,5693.93,BUILDING,"uests according to the ironic, final foxes haggle car"
150116,Customer#000150116,6ED5ouhXOK5XepMNz0ypzgO0NEVYkLy1LfiSEwcB,13,23-784-235-8676,6939.59,BUILDING,"s cajole above the quiet pinto beans: bold deposits cajole furiously along the even,"
150117,Customer#000150117,Aec9KZO7FmZ9vEfBlMPnsoq8zyy48RuV7,3,13-355-477-8130,9790.63,AUTOMOBILE, deposits around the blithely express packages cajole carefully ironic Tiresias. furio
150118,Customer#000150118,PLyIJe404VnH,12,22-114-221-6684,136.65,FURNITURE,iously against the busily regular account
150119,Customer#000150119,5Gaqdh6QDi0VXfw hw3YBWxgzdY,5,15-649-878-3440,6622.59,HOUSEHOLD,ckly final foxes haggle blithely across the quickly ironic requests. quickly expre
150120,Customer#000150120,i51ouHMe4Q50o4F4PWVyv7y,15,25-741-279-6143,5906.65,BUILDING,e slyly ironic asymptotes. regular pi
150121,Customer#000150121,JxVQgimGsZOdDWsQ0XYJnW,0,10-649-411-9134,7058.41,FURNITURE,"uriously pending deposits. regular, even requests"
150122,Customer#000150122,PfEKPC9STb NTq1g8ySWZly,11,21-137-853-3197,4765.41,FURNITURE,refully regular packages among the f
150123,Customer#000150123,ESi0HZ6hr1q3WEvvuViVc,5,15-467-924-6271,-805.98,FURNITURE,ng to the carefully ironic ideas. even packages are about the slyly even theodolites. carefully final foxes use. 
150124,Customer#000150124,KyEk8rNuEB,13,23-409-853-3208,3734.79,HOUSEHOLD,"ests are carefully throughout the bold, final packages. slyly final dolph"
150125,Customer#000150125,yRcXEbF1j0JDAo4ra,22,32-548-905-7868,2544.96,FURNITURE,busily furiously stealthy packages-- furiously unusual instructions sleep slyly after the furiously expr
150126,Customer#000150126,"KzI5iaF,ZpOmk,I96JVevYavu9j",7,17-145-754-7381,3139.22,HOUSEHOLD,eposits sleep fluffily against the carefully final excuses. furiously ironic theodolites haggle
150127,Customer#000150127,o0z0oAcRDSqSwL7amN6l64,23,33-958-192-3548,2862.25,AUTOMOBILE,elets will have to cajole. quickly bold deposits nag carefully. regularly ironic accounts sleep sl
150128,Customer#000150128,XK71b 5Vpjtl9ATaw,3,13-990-151-8138,823.16,AUTOMOBILE,"ts eat quickly blithely unusual packages. ideas along the final, regular pinto beans wake carefully fluffil"
150129,Customer#000150129,"jB7GYx,no6BU 4Ge,fR",7,17-748-775-3426,5723.64,MACHINERY,"ly regular packages. dogged, unusual requests sleep among the accounts. even, special ac"
150130,Customer#000150130,"pPaXE,z3YSBxsN2i1Rwd6O6aHF0",19,29-849-143-8234,202.47,BUILDING,ending theodolites wake blithely after th
150131,Customer#000150131,sZVwfj4vveILtnJglw8kM2Gy5,24,34-234-709-2203,1855.44,FURNITURE,to beans sleep. even packages across 
150132,Customer#000150132,8UQn9wLD9kz9nJJBv91hug4 4mX,20,30-499-634-6636,8336.63,BUILDING,es. unusual accounts integrate blithely around the quickly regular pinto beans. express theodolites use slyly e
150133,Customer#000150133,LtU1k3eNpZgK4jAZrj,15,25-924-218-4470,4839.66,BUILDING,"ely sly ideas. even, ironic accounts hang among the accounts. slyly bold excuses nag furiously blithely "
150134,Customer#000150134,Y8Xe VegjfsYTb9Cjcrhe7LXWWxQZepDt,5,15-128-399-4875,4089.77,BUILDING,press sauternes eat according to the accounts. slyly reg
150135,Customer#000150135,9stSjEx5k9OA3SUc TfEmp faPJSuZAmBYsG6,3,13-286-380-6519,6837.37,HOUSEHOLD," furiously unusual deposits. busy, regular foxes alongside of the carefully regular accounts hang except the "
150136,Customer#000150136,"eD8D7T0TMXyGIHde3,fp22ARPn4TRDf1ZY",14,24-121-915-4576,7693.76,AUTOMOBILE,"accounts are alongside of the special, silent decoys. even pinto beans play. busily even theodolites alongside of t"
150137,Customer#000150137,xpSmhr9cJbdBXSe9Wia6Q1CK,11,21-603-313-3083,2079.50,AUTOMOBILE,s. fluffily bold accounts are furiously. final accounts are-- instructions about the fi
150138,Customer#000150138,m1V3FqbRUC7 F28uSJSO6b,14,24-775-386-1434,1095.18,AUTOMOBILE,"e permanent, even accounts. carefully pending platelets sleep requests. accounts above the quickly s"
150139,Customer#000150139,d7pgCSLKN1UW5tQ7wN1GXvbQyJ9KuWM5xL4ldK,2,12-123-563-3471,1705.29,BUILDING,ing to the regularly express instructions. slyly even accounts among t
150140,Customer#000150140,jY3fnYPkoP2 r5wL7i9Ny,5,15-178-553-7666,3683.78,HOUSEHOLD,"he pending, ironic asymptotes: slyly even requests are fluffily regular foxes. blithely re"
150141,Customer#000150141,"oudv6EVxbJ8YGSltE,SiOurGJgXMYeSA162",5,15-696-531-3431,3316.34,AUTOMOBILE,s. special accounts haggle slyly slyly busy asymptotes. slyly express warthogs haggle quickly among the sl
150142,Customer#000150142,"C5,tHIspyRJmZ83T9XJE9w2SASA5No4Znq9",15,25-842-231-5452,9737.52,FURNITURE,ing to the daringly even instructions; ironic sentiments according to t
150143,Customer#000150143,A6EdqJdW PCjfVcFVy9i,9,19-149-775-4795,9592.67,MACHINERY,le busily. furiously regular packages integrate theodolites. excuses breach unusual accounts. even request
150144,Customer#000150144,"d4Wv972bgu2Sl1E5,A",6,16-824-878-7840,6156.42,HOUSEHOLD,cajole furiously. blithely special accounts nod against the carefully final dependencies.
150145,Customer#000150145,"ByvfR9lQzuUE1akvqsTksFIINx0xN2fpaVv0IA,y",6,16-973-110-8875,2939.05,AUTOMOBILE, about the furiously bold tithes. quickly regular foxes above the blithely final idea
150146,Customer#000150146,eqVOlGTSKO5b3Yw4bfc0f1u dovi7 r,3,13-300-221-2610,4634.30,HOUSEHOLD,"ecial, regular deposits maintain. carefully regular asymptotes solve quickly blithe requests. fluffily regul"
150147,Customer#000150147,iT6ApaL MvHcvFjzoUB,13,23-153-361-4543,6606.01,BUILDING,ly regular realms. slyly regular ideas
150148,Customer#000150148,"4xI2vyq2,09i1jFF90RD65CxYiyDt5TH00EYR7T1",15,25-676-647-4296,2265.58,BUILDING,xpress ideas. quickly final accounts poach furiously along the regular packages. slyly regular requests alon
150149,Customer#000150149,"zCyeXBg, eM5twjAGjSKtwohAyA",5,15-890-300-4890,4523.21,FURNITURE,"g, ironic packages among the unusual foxes wake slyly"
150150,Customer#000150150,lNDPNuaR2th1Ptma2S7KbFk5UetcP ucaO6DxcV,10,20-580-873-3564,9553.27,BUILDING,ays haggle quickly among the furiously final accounts. special dolph
150151,Customer#000150151,"GJ,V,LqSQtTEeH",6,16-478-346-8833,3968.71,MACHINERY,s breach against the never special dependencies? furiously silent sheaves across the quickly quie
150152,Customer#000150152,"K8hLSrqa  bLvFkO,xTzqLSCitr5z 3xE",20,30-230-112-2106,7097.98,FURNITURE,en accounts sleep against the carefully final theodolites. instructions eat thinly ironic packages. foxes
150153,Customer#000150153,"wAYpAY,1X4I",20,30-860-856-8216,9821.12,FURNITURE,requests are inside the bold sauternes. furiously final foxes among the fur
150154,Customer#000150154,2es9vxDAhDs1NMy7,14,24-635-199-4741,6583.69,FURNITURE,usual deposits among the ironic accounts snooze along the accounts. fu
150155,Customer#000150155,gpBokZrIa8f4ayPDCt1RCxe9VtUp5de6Yj6cgF,13,23-583-513-8956,1140.70,MACHINERY,"to beans haggle carefully even multipliers! special, final de"
150156,Customer#000150156,0WMnr JUR19IJMTG7gwbx1,18,28-515-337-7804,7742.72,FURNITURE,osits. slyly final packages against the ironic foxes affix furiously after the furious
150157,Customer#000150157,"mpLrckOb2dDweETjppxi,GZj0r",13,23-551-639-9232,-50.68,HOUSEHOLD,"riously regular packages affix carefully around the regularly pending patterns-- final, regular d"
150158,Customer#000150158,uGnmXw8m m,20,30-593-747-7635,4112.40,FURNITURE,ously regular dependencies cajole pending asymptotes. furiously regular deposits haggle blithely. 
150159,Customer#000150159,"c6TK,wQuPQkeMdEtS Uu",9,19-192-702-3513,2114.91,HOUSEHOLD,n pinto beans sleep across the furiously ironic ideas. furiously
